"","1","2","3","4"
"PCCow001",1,1,1,1
"PCCow002",0,0,0,0
"PCCow003",0,0,0,0
"PCCow004",0,0,0,0
"PCCow005",0,0,0,0
"PCCow006",0,0,0,0
"PCCow007",1,0,1,1
"PCCow008",0,0,0,0
"PCCow009",1,1,1,1
"PCCow010",0,0,0,0
"PCCow011",0,0,0,0
"PCCow012",0,0,0,0
"PCCow013",0,0,0,0
"PCCow014",0,0,0,0
"PCCow015",0,0,0,0
"PCCow016",0,0,0,0
"PCCow017",0,0,0,0
"PCCow018",0,0,0,0
"PCCow019",0,0,0,0
"PCCow020",0,0,0,0
"PCCow021",0,0,0,0
"PCCow022",0,0,0,0
"PCCow023",0,0,0,0
"PCCow024",0,0,0,0
"PCCow025",0,0,0,0
"PCCow026",0,0,0,0
"PCCow027",1,1,1,1
"PCCow028",0,0,0,0
"PCCow029",0,0,0,0
"PCCow030",0,0,0,0
"PCCow031",0,0,0,0
"PCCow032",0,0,0,0
"PCCow033",0,0,0,0
"PCCow034",0,0,0,0
"PCCow035",0,0,0,0
"PCCow036",0,0,0,0
"PCCow037",1,1,0,0
"PCCow038",0,0,0,0
"PCCow039",0,0,0,0
"PCCow040",0,0,0,0
"PCCow041",0,0,0,0
"PCCow042",0,0,0,0
"PCCow043",0,0,0,0
"PCCow044",0,0,0,0
"PCCow045",0,0,0,0
"PCCow047",0,0,0,0
"PCCow048",0,0,0,0
"PCCow049",0,0,0,0
"PCDry001",0,0,0,0
"PCDry002",0,0,0,0
"PCDry003",0,0,0,0
"PCDry004",0,0,0,0
"PCDry005",0,0,0,0
"PCDry006",0,0,0,0
"PCDry007",0,0,0,0
"PCDry008",0,0,0,0
"PCDry009",0,0,0,0
"PCDry010",0,0,0,0
"PCDry011",0,0,0,0
"PCDry012",0,0,0,0
"PCDry013",0,0,0,0
"PCDry014",0,0,0,0
"PCDry015",0,0,0,0
"PCDry016",0,0,0,0
"PCDry017",0,0,0,0
"PCDry018",0,0,0,0
"PCDry019",0,0,0,0
"PCDry020",0,0,0,0
"PCDry021",0,0,0,0
"PCDry022",0,0,0,0
"PCDry023",0,0,0,0
"PCWS001",0,0,0,0
"PCWS002",0,0,0,0
"PCWS003",0,0,0,0
"PCWS004",0,0,0,0
"PCWS005",0,0,0,0
"PCWS006",0,0,0,0
"PCWS007",0,1,1,1
"PCWS008",0,0,0,0
"PCWS009",0,0,0,0
"PCWS010",0,0,0,0
"PCWS011",0,1,1,1
"PCWS012",0,0,0,0
"PCWS013",0,0,0,0
"PCWS014",0,1,1,1
"PCWS015",0,0,0,0
"PCWS016",0,0,0,0
"PCWS017",1,1,1,0
"PCWS018",0,1,1,1
"PCWS019",0,0,0,0
"PCWS020",0,0,0,0
"PCWS021",0,0,0,0
"PCWS022",0,0,0,0
"PCWS023",0,0,0,0
"PCWS024",0,0,0,0
"PCWS025",0,0,0,0
"PCWS026",0,0,0,0
"PCWS027",0,0,0,0
"PCWS028",0,0,0,0
"PCWS029",0,0,0,0
"PCWS030",0,0,0,0
"PCWS031",0,0,0,0
"PCWS032",0,0,0,0
"PCWS033",1,0,1,1
"PCWS034",0,0,0,0
"PCWS035",0,0,0,0
"PCWS036",1,1,1,1
"PCWS037",0,0,0,0
"PCWS038",0,0,0,0
